ID, Directions

1, RED VELVET CAKE DIRECTIONS
1, 1) Preheat the oven to 350 degrees F. Butter and flour 2 (9-inch) cake pans and line each pan with a round of parchment paper.
1, 2) Whisk together the flour cocoa powder baking soda and salt in a small bowl.
1, 3) Cream the butter sugar and oil in a stand mixer fitted with the paddle attachment until light and fluffy. Add the eggs one at a time while scraping down the sides of the bowl and beat until incorporated. Beat in the vanilla vinegar and food coloring.
1, 4) Add the flour mixture to the batter in 3 batches alternating with the buttermilk and mixing well after each addition. Divide the batter evenly between the prepared pans and bake for 30 to 40 minutes or until a wooden skewer inserted into the center comes out with a few moist crumbs. Cool on a baking rack for 15 minutes before removing the cake from the pans. Let cool completely before frosting. Slice each cake into 2 layers and frost.
1, FROSTING:
1, 5) Combine the cream milk vanilla bean and seeds in a small saucepan and bring to a simmer over medium-high heat. Remove the vanilla bean and discard. Add the flour and cook while whisking constantly until thickened to a paste (about 2 minutes.) Scrape into a bowl and cover and refrigerate until very cold (at least 2 hours).
1, 6) Combine the butter and sugar in the bowl of a stand mixer fitted with the whisk attachment and beat until the mixture is very fluffy and the sugar is totally dissolved (about 6 minutes). Add the cold paste a few tablespoons at a time to the butter mixture and whip until light and fluffy.

2, COOKIES & CREAM ICE CREAM DIRECTIONS
2, CAKE:
2, 1) Preheat oven to 350 degrees F. Butter half sheet pan (18x13-inch) and line with parchment paper. Set aside.
2, 2) In the bowl of a stand mixer fitted with paddle attachment cream together butter sugar and vanilla until smooth and fluffy.
2, 3) In a separate bowl whisk together cake flour baking powder and salt. With the mixer running on low add flour mixture in three additions alternating with milk. Start and finish with flour mixture. Scrape down bowl as needed to ensure thorough mixing. Fold in chopped Oreo cookies.
2, 4) In a large clean bowl whip egg whites using an electric hand mixer. Start at low speed until egg whites are foamy. Increase speed and continue to whip to stiff peaks. Gently fold egg whites into cake batter in three additions. Cake batter will loosen as you add the egg whites.
2, 5) Transfer cake batter to prepared sheet pan. Spread into an even layer. Bake for 25-30 minutes while rotating pan midway through baking until toothpick inserted in center of cake comes out clean. 
2, 6) Allow cake to cool to room temperature in pan. Use a mini offset spatula or butter knife to loosen cake from pan. Use a 9-inch parchment round as a guide to cut out one layer of cake. Fold parchment round in half and cut out two half rounds using remaining cake. Immediately use cakes for assembly or wrap in plastic wrap for later use.
2, ASSEMBLY:
2, 1) Line 9-inch springform pan with plastic wrap while making sure to cover up the sides. Place a 9-inch cake board at the bottom of the pan if desired.
2, 2) Place the two half round cake pieces at the bottom of the pan. Spread softened ice cream on top of cake. Top with remaining cake round. Cover with plastic wrap and keep in the freezer overnight to set up.
2, 3) Remove ice cream cake from pan. Top with whipped cream. Garnish with additional chopped Oreo cookies. Allow ice cream cake to sit at room temperature for 5 minutes before slicing and serving. 

3, PEACH COBBLER DIRECTIONS
3, 1) Preheat oven to 425 degrees F (220 degrees C).
3, 2) In a large bowl combine peaches 1/4 cup white sugar 1/4 cup brown sugar 1/4 teaspoon cinnamon nutmeg lemon juice and cornstarch. Toss to coat evenly and pour into a 2 quart baking dish. Bake in preheated oven for 10 minutes.
3, 3) Meanwhile in a large bowl combine flour 1/4 cup white sugar 1/4 cup brown sugar baking powder and salt. Blend in butter with your fingertips or a pastry blender until mixture resembles coarse meal. Stir in water until just combined.
3, 4) Remove peaches from oven and drop spoonfuls of topping over them. Sprinkle entire cobbler with the sugar and cinnamon mixture. Bake until topping is golden (about 30 minutes).

4, CREOLE GUMBO DIRECTIONS
4, 1) Make a roux by whisking the flour and 3/4 cup bacon drippings together in a large heavy saucepan over medium-low heat to form a smooth mixture. Cook the roux whisking constantly until it turns a rich mahogany brown color. This can take 20 to 30 minutes; watch heat carefully and whisk constantly or roux will burn. Remove from heat; continue whisking until mixture stops cooking.
4, 2) Place the celery onion green bell pepper and garlic into the work bowl of a food processor and pulse until the vegetables are very finely chopped. Stir the vegetables into the roux and mix in the sausage. Bring the mixture to a simmer over medium-low heat and cook until vegetables are tender (10 to 15 minutes). Remove from heat and set aside.
4, 3) Bring the water and beef bouillon cubes to a boil in a large Dutch oven or soup pot. Stir until the bouillon cubes dissolve, and whisk the roux mixture into the boiling water. Reduce heat to a simmer and mix in the sugar salt hot pepper sauce Cajun seasoning bay leaves thyme stewed tomatoes and tomato sauce. Simmer the soup over low heat for 1 hour; mix in 2 teaspoons of file gumbo powder at the 45-minute mark.
4, 4) Meanwhile melt 2 tablespoons of bacon drippings in a skillet and cook the okra with vinegar over medium heat for 15 minutes; remove okra with slotted spoon and stir into the simmering gumbo. Mix in crabmeat shrimp and Worcestershire sauce and simmer until flavors have blended 45 more minutes. Just before serving stir in 2 more teaspoons of file gumbo powder.

5, RATATOUILLE DIRECTIONS
5, 1) Preheat the oven to 375 degrees F (190 degrees C).
5, 2) Spread tomato paste into the bottom of a 10x10-inch baking dish. Sprinkle with onion and garlic and stir in 1 tablespoon olive oil and water until thoroughly combined. Season with salt and black pepper.
5, 3) Arrange alternating slices of eggplant zucchini yellow squash red bell pepper and yellow bell pepper starting at the outer edge of the dish and working concentrically towards the center. Overlap the slices a little to display the colors. Drizzle the vegetables with 3 tablespoons olive oil and season with salt and black pepper. Sprinkle with thyme leaves. Cover vegetables with a piece of parchment paper cut to fit inside.
5, 4) Bake in the preheated oven until vegetables are roasted and tender about 45 minutes. Serve with dollops of mascarpone cheese.

6, LAMB CURRY DIRECTIONS
6, 1) Heat oil in large pan; add bay leaves cardamom cinnamon stick peppercorns and cloves.
6, 2) When leaves begin to sizzle and fragrance starts to release add onions and saute until light golden (about 12-15 minutes) while stirring frequently.
6, 3) Stir in the ginger paste garlic chile pepper and lamb.
6, 4) Season the lamb with salt; continue cooking and stirring mix for about 20 minutes more while adding a little water if necessary to keep food from sticking.
6, 5) Add turmeric coriander powder cayenne and garam masala; stir for 5 minutes while adding 2 tablespoons water.
6, 6) Add diced tomatoes and cook for 5 minutes stirring frequently.
6, 7) Then add 4 cups of water and simmer for 15 minutes or until meat is getting tender.
6, 8) Lower heat. Whisk the yogurt with a fork; and add to the pot slowly.
6, 9) Then cook until meat is done to your liking and sauce is thickened.
6, 10) Garnish with cilantro leaves. Serve with steamed basmati rice or hot Indian breads such as Naan.